FECHA_REGISTRO;EMPRESA_NOMBRE;EMPRESA_CUIT;EST_NOMBRE;EST_SECCIONAL;EST_DIRECCION;EST_COD_POS;CONVENIO;TIPO;CONCEPTO;CONCEPTO_ID;DETALLE;DETALLE_ID;TIPO_PAGO;NUMERO_ACTA;ACUERDO_NUMERO;IMPORTE;RECARGOS;TOTAL;CTA_BANCO;CODIGO_BARRA;FECHA_CALCULO
"11/03/2026 12:53:57";"Fortress S.A.";30715107445;WASABI;;"Sec. SANTA FE";3000;UTHGRA;"RESTO BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;84401.02;0.00;84401.02;44044/64;029404025401130715107445027188222026020004220051000000700000000084401029;"11/03/2026 09:53"
"11/03/2026 12:54:07";"CRECER ONLINE";20303762117;"TEST COMEDOR";"AVELLANEDA-LOMAS DE ZAMORA";"JOSE HERNANDEZ 3541";1757;FADAPH;PARRILLA;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Parcial;1234;;2121;212.00;2333.00;44044/64;029404025401200000000000027187920001234000000100000000000212000002333001;"11/03/2026 09:54"
"11/03/2026 12:54:47";"CA´N SONG S.A";30715598309;"CA´N SONG S.A";;"4 520";7107;UTHGRA;RESTAURANTE;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;112730.66;0.00;112730.66;3886917;029404134005130715598309027188532026020005636533000000400000000112730665;"11/03/2026 09:54"
"11/03/2026 12:55:42";"CRECER ONLINE";20303762117;"TEST COMEDOR";"AVELLANEDA-LOMAS DE ZAMORA";"JOSE HERNANDEZ 3541";1757;FADAPH;PARRILLA;"Fondo Convenio";3;"Convenio Agencia de Viajes y Turismo";70;Parcial;1234;;122333;22.00;122355.00;19026/48;029404147070200000000000027187930001234000000100000000000022000122355001;"11/03/2026 09:55"
"11/03/2026 12:56:24";"CA´N SONG S.A";30715598309;"CA´N SONG S.A";;"4 520";7107;UTHGRA;RESTAURANTE;"Contribución Solidaria";9;"Contribución Solidaria Mar de Ajó";276;;;;112730.66;0.00;112730.66;49810501/80;029404534276130715598309027188592026020005636533000000400000000112730668;"11/03/2026 09:56"
"11/03/2026 12:57:12";"GARCIA PABLO FABIAN";20210932071;"GARCIA PABLO FABIAN";;"AV. COSTANERA 1235";7107;UTHGRA;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;63421.82;0.00;63421.82;44044/64;029404025401120210932071027188722026020003171091000000300000000063421825;"11/03/2026 09:56"
"11/03/2026 13:01:03";"CANNOLO SRL";30715660861;"IN AND OUT";"CIUDAD DE BUENOS AIRES";"ESMERALDA 612";1007;CAECSAL;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;7259.40;0.00;7259.40;44044/64;029404025401130715660861022540622026020000362970000000200000000007259409;"11/03/2026 09:59"
"11/03/2026 13:03:04";"MDQ JUSTEM S.A.";30710242743;"MDQ JUSTEM S.A.";"MAR DEL PLATA";"ALEM 3414";7600;FEHGRA;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical Mar del Plata";360;;;;148601.86;0.00;148601.86;35056666/73;029404377360130710242743027188342026020007430093000000600000000148601862;"11/03/2026 10:03"
"11/03/2026 13:03:23";"GARCIA PABLO FABIAN";20210932071;"GARCIA PABLO FABIAN";;"AV. COSTANERA 1235";7107;UTHGRA;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;63421.82;0.00;63421.82;3886917;029404134005120210932071027188732026020003171091000000200000000063421829;"11/03/2026 10:03"
"11/03/2026 13:05:14";"MDQ JUSTEM S.A.";30710242743;"MDQ JUSTEM S.A.";"MAR DEL PLATA";"ALEM 3414";7600;FEHGRA;RESTAURANTE;"Contribución Solidaria";9;"Contribución Solidaria Mar del Plata";361;;;;113714.24;0.00;113714.24;35056666/73;029404377361130710242743027188392026020005685712000001700000000113714245;"11/03/2026 10:05"
"11/03/2026 13:06:20";"MDQ JUSTEM S.A.";30710242743;"MDQ JUSTEM S.A.";"MAR DEL PLATA";"ALEM 3414";7600;FEHGRA;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;262316.10;0.00;262316.10;44044/64;029404025401130710242743027188322026020013115805000002300000000262316104;"11/03/2026 10:06"
"11/03/2026 13:06:42";"excelsa coffee srl";30719130832;"excelsa coffee srl";;"GOB FELIPE LLAVALLOL 80";1824;UTHGRA;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;93638.84;0.00;93638.84;44044/64;029404025401130719130832027188922026020004681942000000600000000093638847;"11/03/2026 10:06"
"11/03/2026 13:07:33";"MDQ JUSTEM S.A.";30710242743;"MDQ JUSTEM S.A.";"MAR DEL PLATA";"ALEM 3414";7600;FEHGRA;RESTAURANTE;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;262316.10;0.00;262316.10;3886917;029404134005130710242743027188332026020013115805000002300000000262316109;"11/03/2026 10:07"
"11/03/2026 13:08:27";"CRECER ONLINE";20303762117;"TEST COMEDOR";"AVELLANEDA-LOMAS DE ZAMORA";"JOSE HERNANDEZ 3541";1757;FADAPH;PARRILLA;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Total;1234;;23333;2121.00;25454.00;44044/64;029404025401200000000000027187920001234000000000000000002121000025454008;"11/03/2026 10:08"
"11/03/2026 13:09:14";"CANNOLO SRL";30715660861;"IN AND OUT";"CIUDAD DE BUENOS AIRES";"ESMERALDA 612";1007;CAECSAL;RESTAURANTE;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;7259.40;0.00;7259.40;3886917;029404134005130715660861022540632026020000362970000000200000000007259404;"11/03/2026 10:09"
"11/03/2026 13:11:48";"CANNOLO SRL";30715660861;"IN AND OUT";"CIUDAD DE BUENOS AIRES";"ESMERALDA 612";1007;CAECSAL;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;3658.16;0.00;3658.16;19026/48;029404147458130715660861022540642026020000182908000000100000000003658162;"11/03/2026 10:11"
"11/03/2026 13:11:57";"CHAMBRES ET JARDINS SRL";30718521242;"LA NOIRE HOTEL CAFE";"CIUDAD DE BUENOS AIRES";"ROSETI 344";1427;CAECSAL;HOTEL;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;100000.00;354600.00;454600.00;44044/64;0294040254011307185212420269542220260100050000000000012354600000454600006;"11/03/2026 10:11"
